"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At"
"spotify:track:73TeTj4FiKVtMHi2q2TS5w","Thinking (Live Sesh)","spotify:artist:6uIst176jhzooPMetg2rtH","Louis Cole","spotify:album:6NC8HnHlcCexYjukZIkYmJ","Live Sesh and Xtra Songs","2019-04-05","1","2","250714","false","0","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:23sTGlQIsLtAxKuJj9Ekrd","Like It Is - Remastered","spotify:artist:33XkS6h90eeK7e6OJHw0mq","Yusef Lateef","spotify:album:4dpXhQvZAzAbti2Xpccnat","The Blue Yusef Lateef","1968","1","2","452533","false","49","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7yzM0pEseQUpb6BMViOPEA","Love Theme From Spartacus - Remastered","spotify:artist:33XkS6h90eeK7e6OJHw0mq","Yusef Lateef","spotify:album:651p7rfPaB7IiGIIR6Ys7f","Eastern Sounds","1961","1","5","251600","false","61","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:009r3IsnmuB2eHNZoB677J","Why Did I Choose You?","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","spotify:album:3YHErRDscXD5hbv98iq3yU","From Left To Right","1970","1","3","303960","false","0","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7dxfZW30kA6kfXJsq79N2O","Soiree","spotify:artist:4jXfFzeP66Zy67HM2mvIIF","Bill Evans","spotify:album:3YHErRDscXD5hbv98iq3yU","From Left To Right","1970","1","4","203733","false","0","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:78gNgWCNm285XLgWpNb1y9","What are you doing the rest of your life","spotify:artist:0StJhTOwSFMrgRwDGnnE2S","INO hidefumi","spotify:album:0j9epI3pFTdwfQa5PfiYSV","Satisfaction","2006-06-09","1","2","194760","false","18","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7J51umZEfClAyNDLPiuemB","Spartacus","spotify:artist:0StJhTOwSFMrgRwDGnnE2S","INO hidefumi","spotify:album:0j9epI3pFTdwfQa5PfiYSV","Satisfaction","2006-06-09","1","1","247800","false","36","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3KEpKiVXxnoUVOniZ5XTTT","GOOD DAY","spotify:artist:7nDfh01E30OkhgsPKSQzCx","舐達麻","spotify:album:17p4aVkRxzdKICDL6PvKDy","GODBREATH BUDDHACESS","2019-08-31","1","1","262125","true","52","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:41OrXgoM1F4105z7ppqWYe","RELAXING","spotify:artist:2HdFwTHtgBqm7EdJsViK6F","vividboooy","spotify:album:3qJpDFw0EKp2RrMaBvhIgo","SYNCHRONICITY","2019-08-07","1","2","234300","false","51","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:1NCinyj7GB4Cf2YBY6Xvtx","Who Hurt You?","spotify:artist:1UNn2BYrEtwvThTGvU4y5d, spotify:artist:0Dv4HrysOrVCru6nc0aanv","LATE LEE, ERANG","spotify:album:5d1smxQpnHObBX37zTsGbB","Elevator","2019-03-29","1","4","204173","true","7","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3oZRDICa5S4mJ9KcKJeYFy","Ey’","spotify:artist:1UNn2BYrEtwvThTGvU4y5d, spotify:artist:1LhOhPJ3Z1uTaybvUVg2lC","LATE LEE, FLANNEL ALBERT","spotify:album:5d1smxQpnHObBX37zTsGbB","Elevator","2019-03-29","1","8","189250","true","28","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:1o6wXCzuU5etmkH9wydT06","カフェイン中毒","spotify:artist:5D21ZneiMBeuS22kVg2sxE","kiki vivi lily","spotify:album:0zzJw6iyhzOghtD1GQTsxE","vivid","2019-06-26","1","7","192705","false","42","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5r7RVJ3q60lmHlfijLAHmi","熱帯夜 (feat. Keyco)","spotify:artist:08Wg9V20tcETeR2qG1AiPf, spotify:artist:6Ou9H9iV3nhw1zHUxMoQS4","SWING-O, Keyco","spotify:album:4TzqsHkorrn3bAA1EHY54K","遊女ASOBI","2019-06-26","1","8","306506","false","1","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:6TXpM603tIyVWtzwI0SatD","病む街","spotify:artist:2TRRdIMjf6GiRhwV8GHtuP","MICROPHONE PAGER","spotify:album:0RRzcb5QoDSGFsFNdxNPb2","DON'T TURN OFF YOUR LIGHT","1995-07-25","1","1","203000","false","0","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:75EKP06FTKQt0lzKQrRf1z","Blood is thicker than water","spotify:artist:0StJhTOwSFMrgRwDGnnE2S","INO hidefumi","spotify:album:1JDnILGoI2TFSWeAOqyeA2","Living Message","2008-06-27","1","5","211253","false","35","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5ZvIQclpYZ3h1LNK6QEKjO","brrr","spotify:artist:2qI1pO64eYqGUiv1XTw4cy, spotify:artist:5VWEpJSb8drkormu61Yb5j","The Quiett, BRADYSTREET","spotify:album:24e739nDGBzQuqDxN5DDqC","glow forever","2018-09-07","1","6","230070","false","24","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0w6zaw1T1FkzRtJQSh1jGK","モンクなし (feat. bird)","spotify:artist:08Wg9V20tcETeR2qG1AiPf, spotify:artist:4UYTq2L0l4zfsUKe8BqeNs","SWING-O, bird","spotify:album:4TzqsHkorrn3bAA1EHY54K","遊女ASOBI","2019-06-26","1","6","301346","false","8","spotify:user:1227113","2019-12-13T16:28:46Z"
